epoch,train_acc,train_loss,test_acc
0,85.66725926016349,0.47009725267975416,98.27800004882812
1,99.43274074074074,0.32612387219711586,99.89133336995442
2,99.9162222249349,0.3162401459534963,99.93933334554036
3,99.96466666937934,0.3146985255859516,99.97933333333333
4,99.97740740740741,0.3141716449101766,99.98133333333334
5,99.97933333333333,0.3139446537053144,99.982
6,99.98103703974971,0.3138167728388751,99.98466666666667
7,99.9825925925926,0.31373495232264204,99.986
8,99.98370370370371,0.31367903435848377,99.98666666666666
9,99.98429629900897,0.31363810854664553,99.98733333333334
