epoch,train_acc,train_loss,test_acc
0,56.758148148148145,0.7454027578389203,56.85133337198893
1,56.77392592592592,0.7455226712368153,56.85133337198893
2,56.773925927734375,0.7455226242418642,56.85133337198893
3,56.773925927508316,0.7455223558849758,56.85133337198893
4,54.86000000135634,0.7360001777966817,43.148666666666664
5,43.22607407384802,0.6931490307101497,43.148666666666664
6,62.44992592683015,0.6240486095552091,99.47733334147135
7,99.91525925925926,0.31510069217152065,99.97266666666667
8,99.97325925925927,0.31383587240289756,99.97533333333334
9,99.974,0.31375229259950144,99.976
10,99.97407407407407,0.3137405094535263,99.976
11,99.9742962962963,0.3137334164954998,99.976
12,99.9742962962963,0.3137326755947537,99.976
13,99.9742962962963,0.31373134174876743,99.976
14,99.97437037037037,0.31373080772470546,99.976
15,99.97437037037037,0.31372815647125246,99.976
16,99.97437037037037,0.3137271973680567,99.976
17,99.97437037308305,0.3137255268856331,99.976
18,99.97444444444444,0.3137249312595085,99.976
19,99.97444444444444,0.31372283700483816,99.976
19,99.97444444444444,0.31372283700483816,99.976
